site,census,time,time_cumul,mort,mort_cumul,start,alive,prop_alive,n0_nt,ln(n0_nt)
AND,0,0,0,0,0,2321,2321,1,1,0
AND,1,12,12,63,63,2321,2258,0.972856527,1.027900797,0.027518662
AND,2,12,24,32,95,2321,2226,0.959069367,1.042677448,0.041791874
AND,3,11.8,35.8,71,166,2321,2155,0.928479104,1.077030162,0.074207404
AND,4,14.4,50.2,99,265,2321,2056,0.885825075,1.128891051,0.12123578
AND,5,9.1,59.3,119,384,2321,1937,0.834554072,1.198244708,0.180857743
AND,6,21.5,80.8,132,516,2321,1805,0.777682034,1.285872576,0.251437536
AND,7,12,92.8,84,600,2321,1721,0.741490737,1.348634515,0.29909261
AND,8,11.5,104.3,125,725,2321,1596,0.68763464,1.454260652,0.374497628
BCI,0,0,0,0,0,5023,5023,1,1,0
BCI,1,11.4,11.3,227,227,5023,4796,0.954807884,1.047331109,0.046245128
BCI,2,13.6,25,210,437,5023,4586,0.913000199,1.095290013,0.09101918
BCI,3,12.2,37.2,177,614,5023,4409,0.877762293,1.139260603,0.130379458
BCI,4,18.6,55.8,449,1063,5023,3960,0.788373482,1.268434343,0.23778334
BCI,5,38.8,94.6,901,1964,5023,3059,0.608998606,1.642039882,0.4959393
CAP,0,0,0,0,0,4710,4710,1,1,0
CAP,1,11.9,11.9,80,80,4710,4630,0.983014862,1.017278618,0.01713104
CAP,2,12.1,24,169,249,4710,4461,0.947133758,1.055817081,0.054314952
CWT,0,0,0,0,0,1640,1640,1,1,0
CWT,1,11.9,12.1,9,9,1640,1631,0.994512195,1.005518087,0.005502918
CWT,2,11.9,23.8,34,43,1640,1597,0.973780488,1.026925485,0.026569373
CWT,3,12.7,36.5,54,97,1640,1543,0.940853659,1.06286455,0.060967668
CWT,4,11.3,47.8,64,161,1640,1479,0.901829268,1.108857336,0.103330058
CWT,5,12.2,60,132,293,1640,1347,0.821341463,1.217520416,0.196816344
CWT,6,15.2,75.2,54,347,1640,1293,0.788414634,1.268368136,0.237731142
CWT,7,10.1,85.3,30,377,1640,1263,0.770121951,1.298495645,0.261206398
CWT,8,10.4,95.7,46,423,1640,1217,0.742073171,1.347576007,0.298307428
CWT,9,11.7,107.4,38,461,1640,1179,0.718902439,1.39100933,0.33002962
CWT,10,14.2,121.6,71,532,1640,1108,0.675609756,1.480144404,0.392139654
HFR,0,0,0,0,0,1317,1317,1,1,0
HFR,1,11.9,12,25,25,1317,1292,0.981017464,1.019349845,0.019165017
HFR,2,11.4,23.3,9,34,1317,1283,0.974183751,1.02650039,0.026155337
HFR,3,11.9,35.2,33,67,1317,1250,0.949126803,1.0536,0.052212871
HFR,4,12.9,48.1,47,114,1317,1203,0.913439636,1.094763092,0.090537986
HFR,5,12.3,60.4,25,139,1317,1178,0.894457099,1.117996604,0.111538338
HFR,6,16.5,76.9,30,169,1317,1148,0.871678056,1.147212544,0.137335125
HFR,7,18,94.9,236,405,1317,912,0.692482916,1.444078947,0.367471712
HFR,8,24.9,119.8,109,514,1317,803,0.609719058,1.640099626,0.494756988
LUQ,0,0,0,0,0,1976,1976,1,1,0
LUQ,1,11.8,12,142,142,1976,1834,0.928137652,1.07742639,0.074575225
LUQ,2,11.1,22.9,104,246,1976,1730,0.875506073,1.142196532,0.132953191
LUQ,3,11.9,34.8,174,420,1976,1556,0.787449393,1.269922879,0.238956174
LUQ,4,12.9,47.7,283,703,1976,1273,0.644230769,1.552238806,0.43969828
LUQ,5,12.3,60,157,860,1976,1116,0.564777328,1.770609319,0.571323735
LUQ,6,11.9,71.9,384,1244,1976,732,0.370445344,2.699453552,0.993049364
NWT,0,0,0,0,0,1930,1930,1,1,0
NWT,1,11.9,11.9,10,10,1930,1920,0.994818653,1.005208333,0.005194817
NWT,2,12.1,24,11,21,1930,1909,0.989119171,1.011000524,0.010940458
NWT,3,12.3,36.3,4,25,1930,1905,0.987046632,1.01312336,0.013037994
NWT,4,13.3,49.6,12,37,1930,1893,0.980829016,1.019545695,0.019357131
NWT,5,11.3,60.9,26,63,1930,1867,0.967357513,1.033743974,0.033187138
NWT,6,12,72.9,10,73,1930,1857,0.962176166,1.039310716,0.038557721
NWT,7,32.4,105.3,60,133,1930,1797,0.931088083,1.074012243,0.071401395
NWT,8,12,117.3,68,201,1930,1729,0.895854922,1.116252169,0.109976796
PSR,0,0,0,0,0,5261,5261,1,1,0
PSR,1,19,19,644,644,5261,4617,0.877589812,1.139484514,0.130575979
PSR,2,24,43,1342,1986,5261,3275,0.622505227,1.606412214,0.474003254